date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:43:25	1492/1492	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Nov%202025%2023:43:24%20GMT	https://space-invaders-dqd4.vercel.app/robots.txt		(from )
18:43:25	6694/6694	---MCZ	200	added ('OK')	text/html	etag:W/%222c17556764e96c81d5c2c573f56c3f51%22	https://space-invaders-dqd4.vercel.app/	E:/Ihop/galaga/space-invaders-dqd4.vercel.app/index.html	(from )
18:43:25	101190/101190	---M--	200	added ('OK')	image/png	etag:%2271220d49f1bb286b900dc0821eb073c4%22	https://space-invaders-dqd4.vercel.app/logo.png	E:/Ihop/galaga/space-invaders-dqd4.vercel.app/logo.png	(from https://space-invaders-dqd4.vercel.app/)
18:43:26	790/790	---M--	200	added ('OK')	text/css	etag:%22c7c7dccb27fddac0f27b5fc70d987180%22	https://space-invaders-dqd4.vercel.app/space.css	E:/Ihop/galaga/space-invaders-dqd4.vercel.app/space.css	(from https://space-invaders-dqd4.vercel.app/)
18:43:26	6354/6354	---MCZ	200	added ('OK')	application/javascript	etag:W/%2241ff8b7fd0578ad2391bfac788216765%22	https://space-invaders-dqd4.vercel.app/space.js	E:/Ihop/galaga/space-invaders-dqd4.vercel.app/space.js	(from https://space-invaders-dqd4.vercel.app/)
18:43:27	18362/18362	---M--	200	added ('OK')	image/png	etag:%22b18dedbb961992cb5954c7181f276b97%22	https://space-invaders-dqd4.vercel.app/alien2.png	E:/Ihop/galaga/space-invaders-dqd4.vercel.app/alien2.png	(from https://space-invaders-dqd4.vercel.app/)
18:43:27	19774/19774	---M--	200	added ('OK')	image/png	etag:%22a872f0223e11e428d975872bb7709692%22	https://space-invaders-dqd4.vercel.app/alien1.png	E:/Ihop/galaga/space-invaders-dqd4.vercel.app/alien1.png	(from https://space-invaders-dqd4.vercel.app/)
18:43:28	27285/27285	---M--	200	added ('OK')	image/png	etag:%222186ca6fbcdda29db6951613c18532d1%22	https://space-invaders-dqd4.vercel.app/ship.png	E:/Ihop/galaga/space-invaders-dqd4.vercel.app/ship.png	(from https://space-invaders-dqd4.vercel.app/)
18:43:28	53528/53528	---M--	200	added ('OK')	image/png	etag:%22cf54189fbb17ed3ee00ae6c5c8c755f0%22	https://space-invaders-dqd4.vercel.app/meteor.png	E:/Ihop/galaga/space-invaders-dqd4.vercel.app/meteor.png	(from https://space-invaders-dqd4.vercel.app/)
18:43:29	12388/12388	---M--	200	added ('OK')	image/png	etag:%2241db352c6f121fd0254d15dbc2194e7a%22	https://space-invaders-dqd4.vercel.app/tokenomics-text.png	E:/Ihop/galaga/space-invaders-dqd4.vercel.app/tokenomics-text.png	(from https://space-invaders-dqd4.vercel.app/)
18:43:29	64485/64485	---M--	200	added ('OK')	image/png	etag:%227675d4e2cb9340be61bed36c7e2e1bc7%22	https://space-invaders-dqd4.vercel.app/planet.png	E:/Ihop/galaga/space-invaders-dqd4.vercel.app/planet.png	(from https://space-invaders-dqd4.vercel.app/)
18:43:30	10528/10528	---M--	200	added ('OK')	image/png	etag:%22cd183508dc12f06e4060cd57b9116f1d%22	https://space-invaders-dqd4.vercel.app/roadmap.png	E:/Ihop/galaga/space-invaders-dqd4.vercel.app/roadmap.png	(from https://space-invaders-dqd4.vercel.app/)
18:43:30	83611/83611	---M--	200	added ('OK')	image/png	etag:%227f92b516dc24e91504d4526dc3c066a6%22	https://space-invaders-dqd4.vercel.app/roadmap1.png	E:/Ihop/galaga/space-invaders-dqd4.vercel.app/roadmap1.png	(from https://space-invaders-dqd4.vercel.app/)
18:43:31	7838/7838	---M--	200	added ('OK')	image/png	etag:%229efa6ef3e30d8a84fce9b7e0ac86f60e%22	https://space-invaders-dqd4.vercel.app/game.png	E:/Ihop/galaga/space-invaders-dqd4.vercel.app/game.png	(from https://space-invaders-dqd4.vercel.app/)
18:43:31	9650/9650	---M--	200	added ('OK')	image/png	etag:%225f20c76168fd7cce0323ee85517c6919%22	https://space-invaders-dqd4.vercel.app/arrows.png	E:/Ihop/galaga/space-invaders-dqd4.vercel.app/arrows.png	(from https://space-invaders-dqd4.vercel.app/)
18:43:32	6225/6225	---M--	200	added ('OK')	image/png	etag:%22ac8f3e303732c3138337376f2ff13b0c%22	https://space-invaders-dqd4.vercel.app/space.png	E:/Ihop/galaga/space-invaders-dqd4.vercel.app/space.png	(from https://space-invaders-dqd4.vercel.app/)
18:43:32	16205/16205	---M--	200	added ('OK')	image/png	etag:%2293759d4fa93f2b6345b0ec947d682589%22	https://space-invaders-dqd4.vercel.app/switch.png	E:/Ihop/galaga/space-invaders-dqd4.vercel.app/switch.png	(from https://space-invaders-dqd4.vercel.app/)
18:43:33	7272/7272	---M--	200	added ('OK')	image/png	etag:%2259d99966661587c8c2d077f03cfe7067%22	https://space-invaders-dqd4.vercel.app/buy.png	E:/Ihop/galaga/space-invaders-dqd4.vercel.app/buy.png	(from https://space-invaders-dqd4.vercel.app/)
18:43:33	11010/11010	---M--	200	added ('OK')	image/png	etag:%226809ea69f3a8b0e461b47b6e72ca8f94%22	https://space-invaders-dqd4.vercel.app/twitter.png	E:/Ihop/galaga/space-invaders-dqd4.vercel.app/twitter.png	(from https://space-invaders-dqd4.vercel.app/)
18:43:34	256384/256384	---MCZ	200	added ('OK')	font/ttf	etag:W/%224cb0b953ac755549a465935eae701060%22	https://space-invaders-dqd4.vercel.app/Crang.ttf	E:/Ihop/galaga/space-invaders-dqd4.vercel.app/Crang.ttf	(from https://space-invaders-dqd4.vercel.app/space.css)
